rng,-14,-11,-8,-5,-2,1,3,6,8,11,12,15,16,19,22,24,25,26,27
0x4c547d3e,555,555,555,555,555,555,123,123,123,123,123,123,123,123,123,123,123,123,123,
0xda16679f,456,456,456,456,111,111,111,111,111,111,111,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x3316c0ec,232,232,232,232,232,232,232,111,111,111,111,111,111,111,111,111,111,111,111,
0xd2003cb5,222,222,222,222,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,
0x65972f4a,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,
0xaf03debb,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,
0x7224ffd8,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,
0x98c4ef31,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,
0x7da0f616,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,
0x7387ab97,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,
0x94d64184,356,356,356,356,356,356,356,356,356,356,356,356,356,356,OUT,OUT,OUT,OUT,OUT,
0xd7484d6d,262,262,262,262,262,262,262,262,262,262,262,262,262,262,123,123,123,123,123,
0x40ae5da2,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,123,123,123,123,
0x38116a33,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,OUT,OUT,OUT,
0x4437f1f0,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,123,123,
0x27295369,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,
0x7038b1ee,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,
0x1a6e768f,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,
0xeac23d1c,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,OUT,OUT,
0x82fabd25,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,123,
0xda01fefa,454,454,454,454,454,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x1de5ecab,523,523,523,523,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,
0x40440f08,456,456,456,456,456,456,456,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0xc1bf06a1,312,312,312,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,
0xb3e110c6,444,444,444,444,444,444,444,444,444,123,123,123,123,123,123,123,123,123,123,
0x6914a887,456,456,456,456,456,111,111,111,111,111,111,111,111,111,111,111,111,111,111,
0xa88f13b4,222,222,222,222,222,222,111,111,111,111,111,111,111,111,111,111,111,111,111,
0x4e246bdd,333,333,333,333,333,333,333,333,123,123,123,123,123,123,123,123,123,111,111,
0xe84d7352,456,456,456,456,456,354,123,111,111,111,111,111,111,111,111,111,111,111,111,
0x85894623,555,555,555,555,225,111,111,111,111,111,111,111,111,111,111,111,111,111,111,
0xd0e3b720,555,555,555,555,555,555,166,111,111,111,111,111,111,111,111,111,111,111,111,
0x1580e8d9,444,444,444,444,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,
0x9fab729e,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,
0xfd20217f,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,
0xb81d254c,543,543,543,543,543,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x6a8e3995,135,135,135,135,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,
0x12581aaa,456,456,456,456,456,456,456,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x711f569b,311,311,311,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,
0xd9d4a38,555,555,555,555,555,555,555,555,332,332,332,332,332,332,332,332,332,332,332,
0x57e5da11,366,366,366,366,366,366,366,366,366,366,111,111,111,111,111,111,111,111,111,
0x6f753776,555,555,542,542,542,542,542,542,542,542,542,123,123,123,123,123,123,123,123,
0x712c177,456,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,
0x92f8d1e4,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,111,111,
0x9e3d064d,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,
0x64755502,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,
0xc767fe13,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,
0xec632850,566,566,566,566,566,566,566,566,566,566,566,566,566,566,OUT,OUT,OUT,OUT,OUT,
0x5a60ba49,313,313,313,313,313,313,313,313,OUT,OUT,OUT,OUT,OUT,OUT,123,123,123,123,123,
0x9167bf4e,111,111,111,111,111,111,111,111,123,123,123,123,123,123,123,123,123,123,123,
0x49ca686f,456,456,456,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,
0xbda797c,263,263,263,263,263,263,263,263,263,263,263,263,111,111,111,111,111,111,111,
0xef1b205,333,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,
0xf604825a,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,
0xcb3f1c8b,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,
0x2313b168,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,
0x8de06981,252,252,252,252,252,252,252,252,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x23786a26,222,222,222,222,222,222,222,222,222,123,123,123,123,123,123,123,123,123,123,
0x8a00f667,456,456,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,
0xc8267c14,266,266,266,266,266,266,266,266,266,266,266,266,266,111,111,111,111,111,111,
0xfda91cbd,356,356,356,356,356,356,356,356,356,356,356,356,356,OUT,OUT,OUT,OUT,OUT,OUT,
0xbef102b2,521,521,521,521,521,521,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,123,123,123,123,123,
0x31c9203,541,541,541,541,541,541,541,123,123,123,123,123,123,123,123,123,123,123,123,
